,0
93,"['many-core', 'approach', 'combinatorial', 'problem', 'case', 'langford', 'problem', 'observed', 'last', 'top500', 'list', 'november', 'gpus-accelerated', 'cluster', 'emerge', 'clear', 'evidence', 'exploiting', 'architecture', 'combinatorial', 'problem', 'resolution', 'remains', 'challenge', 'context', 'paper', 'focus', 'resolution', 'academic', 'combinatorial', 'problem', 'known', 'langford', 'pairing', 'problem', 'solved', 'using', 'several', 'approach', 'first', 'focus', 'general', 'solving', 'scheme', 'based', 'csp', 'constraint', 'satisfaction', 'problem', 'formalism', 'backtrack', 'called', 'miller', 'algorithm', 'method', 'enables', 'u', 'compute', 'instance', 'l', '2,21', 'using', 'cpu', 'gpu', 'computational', 'power', 'load', 'balancing.as', 'dedicated', 'algorithm', 'may', 'still', 'better', 'computation', 'efficiency', 'took', 'advantage', 'godfrey', 'algebraic', 'method', 'solve', 'langford', 'problem', 'implemented', 'using', 'multigpu', 'approach', 'allowed', 'u', 'recompute', 'last', 'open', 'instance', 'l', 'l', 'respectively', 'le', 'day', 'day', 'using', 'best-effort', 'computation', 'romeo', 'supercomputer', '500,000', 'gpu', 'core']"
94,"['radical', 'approach', 'computation', 'real', 'number', 'willing', 'give', 'compatibility', 'ieee', 'float', 'design', 'number', 'format', 'goal', 'appropriate', 'achieve', 'several', 'goal', 'simultaneously', 'extremely', 'high', 'energy', 'efficiency', 'information-per-bit', 'penalty', 'decimal', 'operation', 'instead', 'binary', 'rigorous', 'bound', 'answer', 'without', 'overly', 'pessimistic', 'bound', 'produced', 'interval', 'method', 'unprecedented', 'high', 'speed', 'precision', 'approach', 'extends', 'idea', 'unum', 'arithmetic', 'introduced', 'two', 'year', 'ago', 'breaking', 'completely', 'ieee', 'float-type', 'format', 'resulting', 'fixed', 'bit', 'size', 'value', 'fixed', 'execution', 'time', 'exception', 'value', 'gradual', 'underflow', 'issue', 'wasted', 'bit', 'pattern', 'redundant', 'representation', 'like', 'negative', 'zero', 'example', 'power', 'format', 'difficult', '12-dimensional', 'nonlinear', 'robotic', 'kinematics', 'problem', 'defied', 'solver', 'date', 'quickly', 'solvable', 'absolute', 'bound', 'also', 'unlike', 'interval', 'method', 'becomes', 'possible', 'operate', 'arbitrary', 'disconnected', 'subset', 'real', 'number', 'line', 'speed', 'operating', 'simple', 'bound']"
95,"['infinicloud', '2.0', 'distributing', 'high', 'performance', 'computing', 'across', 'continent', 'infinicloud', '2.0', 'world', 'first', 'native', 'infiniband', 'high', 'performance', 'cloud', 'distributed', 'across', 'four', 'continent', 'spanning', 'asia', 'australia', 'europe', 'north', 'america', 'project', 'provides', 'researcher', 'instant', 'access', 'computational', 'storage', 'network', 'resource', 'distributed', 'around', 'globe', 'resource', 'used', 'build', 'geographically', 'distributed', 'virtual', 'supercomputer', 'complete', 'globally-accessible', 'parallel', 'file', 'system', 'job', 'scheduling', 'paper', 'describes', 'high', 'level', 'design', 'implementation', 'detail', 'infinicloud', '2.0', 'gene', 'sequencing', 'pipeline', 'well', 'plasma', 'physic', 'simulation', 'code', 'used', 'demonstrate', 'system', 'capability']"
96,"['making', 'large-scale', 'system', 'observable', 'another', 'inescapable', 'step', 'towards', 'exascale', 'effective', 'mastering', 'extremely', 'parallel', 'hpc', 'system', 'impossible', 'without', 'deep', 'understanding', 'internal', 'process', 'behavior', 'whole', 'diversity', 'component', 'computing', 'processor', 'node', 'memory', 'usage', 'interconnect', 'storage', 'whole', 'software', 'stack', 'cooling', 'forth', 'detail', 'numerous', 'visualization', 'tool', 'provide', 'information', 'certain', 'component', 'system', 'whole', 'severe', 'issue', 'limit', 'appliance', 'real', 'life', 'thus', 'becoming', 'inacceptable', 'future', 'system', 'scales.predefined', 'monitoring', 'system', 'data', 'source', 'lack', 'dynamic', 'on-the-fly', 'reconfiguration', 'inflexible', 'visualization', 'screening', 'option', 'among', 'popular', 'issues.the', 'proposed', 'approach', 'monitoring', 'data', 'processing', 'resolve', 'majority', 'known', 'problem', 'providing', 'scalable', 'flexible', 'solution', 'based', 'available', 'monitoring', 'system', 'data', 'source', 'approach', 'implementation', 'successfully', 'used', 'every-day', 'practice', 'largest', 'russia', 'supercomputer', 'center', 'moscow', 'state', 'university']"
97,"['reconfigurable', 'computer', 'system', 'first', 'fpgas', 'towards', 'liquid', 'cooling', 'system', 'paper', 'cover', 'history', 'development', 'design', 'technology', 'reconfigurable', 'computer', 'system', 'based', 'fpgas', 'various', 'family', 'five', 'generation', 'reconfigurable', 'computer', 'system', 'high', 'placement', 'density', 'designed', 'base', 'various', 'fpga', 'family', 'xilinx', 'virtex-e', 'modern', 'virtex', 'ultrascale', 'described', 'last', 'achievement', 'domain', 'design', 'energetic', 'effective', 'reconfigurable', 'computer', 'system', 'high', 'real', 'performance', 'presented', 'one', 'achievement', 'developed', 'liquid', 'cooling', 'system', 'virtex', 'ultrascale', 'fpgas', 'provides', 'independent', 'circulation', 'cooling', 'liquid', '3u', 'computational', 'module', 'height', 'cooling', '96-128', 'fpga', 'chip', 'total', 'generate', '9.6-12.8', 'kwatt', 'heat', 'distinctive', 'feature', 'designed', 'immersion', 'liquid', 'cooling', 'system', 'high', 'cooling', 'efficiency', 'power', 'reserve', 'designed', 'perspective', 'fpga', 'family', 'resistance', 'leak', 'consequence', 'compatibility', 'traditional', 'water', 'cooling', 'system', 'based', 'industrial', 'chiller']"
98,"['supercomputer', 'technology', 'tomographic', 'imaging', 'application', 'currently', 'tomographic', 'imaging', 'widely', 'used', 'medical', 'industrial', 'non-destructive', 'testing', 'application', 'x-ray', 'tomography', 'prevalent', 'imaging', 'technology', 'modern', 'medical', 'x-ray', 'ct', 'scanner', 'provide', 'mm', 'spatial', 'resolution', 'disadvantage', 'x-ray', 'tomography', 'used', 'regular', 'medical', 'examination', 'early', 'breast', 'cancer', 'diagnosis', 'one', 'pressing', 'issue', 'modern', 'healthcare', 'ultrasound', 'tomography', 'device', 'developed', 'usa', 'germany', 'russia', 'address', 'problem', 'one', 'main', 'challenge', 'ultrasound', 'tomographic', 'imaging', 'development', 'efficient', 'algorithm', 'solving', 'inverse', 'problem', 'wave', 'tomography', 'nonlinear', 'three-dimensional', 'coefficient', 'inverse', 'problem', 'hyperbolic', 'differential', 'equation', 'solving', 'computationally-expensive', 'problem', 'requires', 'use', 'supercomputer']"
100,"['server', 'level', 'liquid', 'cooling', 'higher', 'system', 'temperature', 'improve', 'energy', 'efп¬ѓciency', 'liquid', 'cooling', 'mainstream', 'approach', 'boost', 'energy', 'efп¬ѓciency', 'high', 'performance', 'computing', 'system', 'higher', 'coolant', 'temperature', 'usually', 'considered', 'advantage', 'since', 'allows', 'heat', 'reuse/recuperation', 'simpliп¬ѓes', 'datacenter', 'infrastructure', 'eliminating', 'need', 'chiller', 'machine', 'however', 'use', 'hot', 'coolant', 'imposes', 'high', 'requirement', 'cooling', 'equipment', 'promising', 'approach', 'utilize', 'coldplates', 'channel', 'structure', 'liquid', 'circulation', 'heat', 'removal', 'semiconductor', 'component', 'designed', 'coldplate', 'low', 'heat-resistance', 'ensures', 'effective', 'cooling', '2030в°', 'temperature', 'difference', 'coolant', 'electronic', 'part', 'server', 'stress-test', 'condition', 'coolant', 'temperature', 'в°c', 'server', 'operation', 'undisturbed', 'also', 'studied', 'power', 'efп¬ѓciency', 'expressed', 'п¬‚oating', 'point', 'operation', 'per', 'watt', 'dependence', 'coolant', 'temperature', '19-65', 'в°c', 'theindividualserverlevel', 'based', 'intel', 'grantley', 'platform', 'dual', 'intel', 'xeon', 'e5-2697v3', 'processor', 'рёthe', 'power', 'performance', 'ratio', 'show', 'moderate', 'в‰€10', '%', 'efп¬ѓciency', 'drop', '65в°c', 'due', 'increase', 'leak', 'age', 'current', 'chipset', 'component', 'reduction', 'processor', 'frequency', 'resulted', 'proportional', 'reduction', 'dgemm', 'benchmark', 'performance', 'must', 'taken', 'account', 'datacenter', 'designer', 'amount', 'recuperated', 'energy', 'в°c', 'leastв‰€10', '%', 'justify', 'choice', 'high', 'temperature', 'coolant', 'solution']"
101,"['data', 'compression', 'climate', 'data', 'different', 'rate', 'increase', 'computational', 'power', 'storage', 'capability', 'supercomputer', 'turn', 'data', 'storage', 'technical', 'economical', 'problem', 'storage', 'capability', 'lagging', 'behind', 'investment', 'operational', 'cost', 'storage', 'system', 'increased', 'keep', 'supercomputer', 'i/o', 'requirement', 'one', 'promising', 'approach', 'reduce', 'amount', 'data', 'stored', 'paper', 'take', 'look', 'impact', 'compression', 'performance', 'cost', 'high', 'performance', 'system', 'end', 'analyze', 'applicability', 'compression', 'layer', 'i/o', 'stack', 'main', 'memory', 'network', 'storage', 'based', 'mistral', 'system', 'german', 'climate', 'computing', 'center', 'deutsches', 'klimarechenzentrum', 'dkrz', 'illustrate', 'potential', 'performance', 'improvement', 'cost', 'saving', 'making', 'use', 'compression', 'large', 'scale', 'decrease', 'investment', 'operational', 'cost', '%', 'without', 'negatively', 'impacting', 'performance', 'additionally', 'present', 'ongoing', 'work', 'supporting', 'enhanced', 'adaptive', 'compression', 'parallel', 'distributed', 'file', 'system', 'lustre', 'application-specific', 'compression']"
102,"['application', 'cuda', 'technology', 'calculation', 'ground', 'state', 'few-body', 'nucleus', 'feynman', ""'s"", 'continual', 'integral', 'method', 'possibility', 'application', 'modern', 'parallel', 'computing', 'solution', 'speed', 'calculation', 'ground', 'state', 'few-body', 'nucleus', 'feynman', ""'s"", 'continual', 'integral', 'method', 'investigated', 'calculation', 'may', 'sometimes', 'require', 'large', 'computational', 'time', 'particularly', 'case', 'system', 'many', 'degree', 'freedom', 'paper', 'present', 'result', 'application', 'general-purpose', 'computing', 'graphic', 'processing', 'unit', 'gpgpu', 'energy', 'square', 'modulus', 'wave', 'function', 'ground', 'state', 'several', 'few-body', 'nucleus', 'calculated', 'using', 'nvidia', 'cuda', 'technology', 'result', 'show', 'use', 'gpgpu', 'significantly', 'increase', 'speed', 'calculation']"
103,"['hybrid', 'cpu', '+', 'xeon', 'phi', 'implementation', 'particle-in-cell', 'method', 'plasma', 'simulation', 'paper', 'present', 'experimental', 'result', 'particle-in-cell', 'plasma', 'simulation', 'hybrid', 'system', 'cpu', 'intel', 'xeon', 'phi', 'coprocessors', 'consider', 'simulation', 'two', 'relevant', 'laser-driven', 'particle', 'acceleration', 'regime', 'using', 'particle-in-cell', 'code', 'picador', 'node', 'cluster', 'cpu', 'xeon', 'phi', 'coprocessors', 'hybrid', 'cpu', '+', 'xeon', 'phi', 'configuration', 'allows', 'fully', 'utilize', 'computational', 'resource', 'node', 'outperforms', 'cpu-only', 'xeon', 'phi-only', 'configuration', 'speedup', '1.36', 'x', '1.68', 'x']"
104,"['easy', 'access', 'hpc', 'resource', 'application', 'gui', 'computing', 'environment', 'king', 'abdullah', 'university', 'science', 'technology', 'kaust', 'growing', 'size', 'complexity', 'kaust', 'host', 'tenth', 'fastest', 'supercomputer', 'world', 'shaheen', 'ii', 'several', 'hpc', 'cluster', 'researcher', 'inhibited', 'complexity', 'need', 'learn', 'new', 'language', 'execute', 'many', 'task', 'order', 'access', 'hpc', 'cluster', 'supercomputer', 'order', 'simplify', 'access', 'developed', 'interface', 'application', 'cluster', 'supercomputer', 'automates', 'transfer', 'input', 'data', 'job', 'submission', 'also', 'retrieval', 'result', 'researcher', 'local', 'workstation', 'innovation', 'user', 'submits', 'job', 'within', 'application', 'gui', 'workstation', 'directly', 'log', 'cluster', 'supercomputer', 'anymore', 'article', 'detail', 'solution', 'benefit', 'researcher']"
105,"['predicting', 'i/o', 'performance', 'hpc', 'using', 'artificial', 'neural', 'network', 'prediction', 'file', 'access', 'time', 'important', 'part', 'modeling', 'supercomputer', ""'s"", 'storage', 'system', 'model', 'used', 'develop', 'analysis', 'tool', 'support', 'user', 'integrate', 'efficient', 'i/o', 'behavior.in', 'paper', 'analyze', 'predict', 'access', 'time', 'lustre', 'file', 'system', 'client', 'perspective', 'therefore', 'measure', 'file', 'access', 'time', 'various', 'test', 'series', 'developed', 'different', 'model', 'predicting', 'access', 'time', 'evaluation', 'show', 'model', 'utilizing', 'artificial', 'neural', 'network', 'average', 'prediciton', 'error', '%', 'smaller', 'linear', 'model', 'phenomenon', 'distribution', 'file', 'access', 'time', 'particular', 'interest', 'file', 'access', 'identical', 'parameter', 'show', 'several', 'typical', 'access', 'times.the', 'typical', 'access', 'time', 'usually', 'differ', 'order', 'magnitude', 'explained', 'different', 'processing', 'file', 'access', 'storage', 'system', 'alternative', 'i/o', 'path', 'investigate', 'method', 'automatically', 'determine', 'alternative', 'i/o', 'path', 'quantify', 'significance', 'knowledge', 'internal', 'processing', 'shown', 'prediction', 'error', 'improved', 'significantly', 'approach']"
106,"['analyzing', 'data', 'property', 'using', 'statistical', 'sampling', 'вђ', 'illustrated', 'scientific', 'file', 'format', 'understanding', 'characteristic', 'data', 'stored', 'data', 'center', 'help', 'computer', 'scientist', 'identifying', 'suitable', 'storage', 'infrastructure', 'deal', 'workload', 'example', 'knowing', 'relevance', 'file', 'format', 'allows', 'optimizing', 'relevant', 'format', 'also', 'help', 'procurement', 'define', 'benchmark', 'cover', 'format', 'existing', 'study', 'investigate', 'performance', 'improvement', 'technique', 'data', 'reduction', 'deduplication', 'compression', 'operate', 'subset', 'data', 'study', 'claim', 'selected', 'data', 'representative', 'scale', 'result', 'scale', 'data', 'center', 'one', 'hurdle', 'running', 'novel', 'scheme', 'complete', 'data', 'vast', 'amount', 'data', 'stored', 'thus', 'resource', 'required', 'analyze', 'complete', 'data', 'set', 'even', 'would', 'feasible', 'cost', 'running', 'many', 'experiment', 'must', 'justified.this', 'paper', 'investigates', 'stochastic', 'sampling', 'method', 'compute', 'analyze', 'quantity', 'interest', 'file', 'number', 'also', 'occupied', 'storage', 'space', 'demonstrated', 'production', 'system', 'scanning', '%', 'file', 'data', 'volume', 'sufficient', 'deduct', 'conclusion', 'speed', 'analysis', 'process', 'reduces', 'cost', 'study', 'significantly']"
107,"['capability', 'assessment', 'multiple-fpga', 'system', 'high', 'performance', 'computing', 'recent', 'year', 'new', 'wave', 'iot/m2m', 'big', 'data', 'ai', 'promote', 'centralization', 'distribution', 'computing', 'result', 'high', 'efficient', 'environment', 'general', 'public', 'big', 'problem', 'since', 'concentration', 'data', 'computation', 'called', 'data', 'centre', 'requires', 'massive', 'increase', 'energy', 'consumption', 'green', 'data', 'center', 'pursue', 'power', 'efficiency', 'performance', 'strongly', 'required', 'thus', 'focus', 'fpgas', 'field', 'programmable', 'gate', 'array', 'offer', 'good', 'equilibrium', 'point', 'high', 'performance', 'low', 'power', 'consumption', 'fpgas', 'designed', 'using', 'hardware', 'description', 'language', 'hdl', 'generally', 'used', 'massively', 'fine', 'grained', 'parallel', 'computation', 'although', 'hdl', 'good', 'tool', 'describe', 'fine-grained', 'structure', 'behavior', 'electronic', 'circuit', 'good', 'software', 'programmer', 'design', 'high-level', 'behavior', 'open', 'computing', 'language', 'opencl', 'first', 'developed', 'apple', 'inc.', 'one', 'good', 'high', 'level', 'description', 'language', 'opencl', 'executed', 'heterogeneous', 'platform', 'cpu', 'gpu', 'dsp', 'fpga', 'presentation', 'constructed', 'fpga-based', 'cluster', 'evaluated', 'performance', 'using', 'opencl', 'program', 'purpose', 'study', 'construct', 'fpga', 'cluster', 'general', 'platform', 'high', 'performance', 'computing', 'application']"
108,"['spectral', 'domain', 'decomposition', 'using', 'local', 'fourier', 'basis', 'application', 'ultrasound', 'simulation', 'cluster', 'gpus', 'simulation', 'ultrasound', 'wave', 'propagation', 'biological', 'tissue', 'wide', 'range', 'practical', 'application', 'however', 'large', 'grid', 'size', 'generally', 'needed', 'capture', 'phenomenon', 'interest', 'novel', 'approach', 'reduce', 'computational', 'complexity', 'presented', 'model', 'us', 'accelerated', 'k-space', 'pseudospectral', 'method', 'enables', 'one', 'hundred', 'gpus', 'exploited', 'solve', 'problem', '*', '10^9', 'grid', 'point', 'classic', 'communication', 'bottleneck', 'fourier', 'spectral', 'method', 'all-to-all', 'global', 'data', 'exchange', 'overcome', 'application', 'domain', 'decomposition', 'using', 'local', 'fourier', 'basis', 'compared', 'global', 'domain', 'decomposition', 'grid', 'size', 'x', 'x', 'reduces', 'simulation', 'time', 'factor', '7.5', 'simulation', 'cost', 'factor', '3.8']"
109,"['hca', 'aware', 'parallel', 'communication', 'library', 'feasibility', 'study', 'offloading', 'mpi', 'requirement', 'message', 'passing', 'interface', 'mpi', 'standardized', 'message', 'passing', 'system', 'independent', 'underlying', 'network', 'widely', 'used', 'parallel', 'programming', 'paradigm', 'communication', 'library', 'make', 'full', 'use', 'host', 'channel', 'adapter', 'hca', 'characteristic', 'maximize', 'performance', 'hpc', 'cluster', 'communication', 'library', 'may', 'able', 'take', 'full', 'advantage', 'underlying', 'network', 'adapter', 'library', 'made', 'generalized', 'significant', 'impact', 'performance.our', 'primary', 'goal', 'develop', 'network', 'dependent', 'message', 'passing', 'library', 'called', 'parallel', 'communication', 'library', 'pcl', 'exploit', 'c-dac', ""'s"", 'proprietary', 'paramnet', 'hca', 'feature', 'efficient', 'message', 'transfer', 'using', 'pcl', 'intend', 'observe', 'feasibility', 'network', 'performance', 'enhancement', 'additional', 'feature', 'objective', 'carry', 'different', 'trial', 'implementing', 'additional', 'feature', 'analyze', 'implication', 'would', 'give', 'u', 'insight', 'towards', 'suitability', 'transport', 'offload/onload', 'mechanism', 'experimentation', 'would', 'give', 'u', 'feedback', 'designing', 'next', 'generation', 'architecture']"
110,"['parallel', 'processing', 'model', 'cholesky', 'decomposition', 'algorithm', 'algowiki', 'project', 'comprehensive', 'analysis', 'algorithmic', 'property', 'well-known', 'cholesky', 'decomposition', 'performed', 'basis', 'multifold', 'algowiki', 'technology', 'performed', 'detailed', 'analysis', 'information', 'graph', 'data', 'structure', 'memory', 'access', 'profile', 'computation', 'locality', 'scalability', 'algorithm', 'property', 'allow', 'u', 'demonstrate', 'lot', 'unevident', 'property', 'split', 'machine-independent', 'machine-dependent', 'subset', 'comprehension', 'parallel', 'algorithm', 'structure', 'provide', 'u', 'possibility', 'efficiently', 'implement', 'algorithm', 'hardware', 'platform', 'specified']"
111,"['data', 'merging', 'cultural', 'heritage', 'imaging', 'based', 'chebfun', 'approach', 'cultural', 'heritage', 'imaging', 'specific', 'need', 'regard', 'analysis', 'image', 'require', 'manipulation', 'single', 'digital', 'object', 'combine', 'image', 'obtained', 'different', 'instrument', 'probing', 'different', 'scale', 'different', 'wavelength', 'possibility', 'selecting', 'two', 'three', 'dimensional', 'representation', 'propose', 'unified', 'imaging', 'data', 'processing', 'approach', 'based', 'chebyshev', 'technology', 'using', 'open', 'source', 'software', 'chebfun', 'mapping', 'data', 'processing', 'simple', 'polynomial', 'transformation', 'brought', 'considerable', 'improvement', 'already', 'existing', 'procedure', 'within', 'data', 'processing', 'framework', 'may', 'investigate', 'merge', 'image', 'originating', 'different', 'acquisition', 'device', 'since', 'image', 'expressed', 'basis', 'approximate', 'chebfun', 'polynomial', 'basis', 'merged', 'end', 'hope', 'map', 'imaging', 'data', 'processing', 'simple', 'polynomial', 'operation', 'massive', 'data-sets', 'required', 'parallelizing', 'chebfun', 'function', 'gpus', 'allowing', 'time', 'faster', 'polynomial', 'evaluation', 'time', 'faster', 'cpu', 'parallelizing', 'whole', 'algorithm']"
112,"['situ', 'exploration', 'particle', 'simulation', 'cpu', 'ray', 'tracing', 'present', 'system', 'interactive', 'situ', 'visualization', 'large', 'particle', 'simulation', 'suitable', 'general', 'cpu-based', 'hpc', 'architecture', 'simulation', 'grow', 'scale', 'situ', 'method', 'needed', 'alleviate', 'io', 'bottleneck', 'visualize', 'data', 'full', 'spatio-temporal', 'resolution', 'use', 'lightweight', 'loosely-coupled', 'layer', 'serving', 'distributed', 'data', 'simulation', 'data-parallel', 'renderer', 'running', 'separate', 'process', 'leveraging', 'ospray', 'ray', 'tracing', 'framework', 'visualization', 'balanced', 'p-k-d', 'tree', 'render', 'simulation', 'data', 'real-time', 'arrive', 'negligible', 'memory', 'overhead', 'flexible', 'solution', 'allows', 'user', 'perform', 'exploratory', 'situ', 'visualization', 'computational', 'resource', 'simulation', 'code', 'dedicated', 'visualization', 'cluster', 'remote', 'workstation', 'via', 'standalone', 'rendering', 'client', 'connected', 'disconnected', 'needed', 'evaluate', 'system', 'simulation', '227m', 'particle', 'lammps', 'uintah', 'computational', 'framework', 'show', 'approach', 'provides', 'many', 'advantage', 'tightly-coupled', 'system', 'flexibility', 'render', 'wide', 'variety', 'remote', 'coprocessing', 'resource']"
113,"['situ', 'visualization', 'production', 'extract', 'database', 'simulation', 'running', 'high', 'concurrency', 'hpc', 'system', 'generate', 'large', 'volume', 'data', 'impractical', 'write', 'disk', 'due', 'time', 'storage', 'constraint', 'application', 'often', 'adapt', 'saving', 'data', 'infrequently', 'resulting', 'datasets', 'poor', 'temporal', 'resolution', 'make', 'datasets', 'difficult', 'interpret', 'post', 'hoc', 'visualization', 'analysis', 'worse', 'lead', 'lost', 'science', 'situ', 'visualization', 'analysis', 'enable', 'efficient', 'production', 'small', 'data', 'product', 'rendered', 'image', 'surface', 'extract', 'consist', 'polygonal', 'geometry', 'plus', 'field', 'data', 'product', 'far', 'smaller', 'source', 'data', 'processed', 'much', 'economically', 'traditional', 'post', 'hoc', 'workflow', 'using', 'far', 'fewer', 'computational', 'resource', 'used', 'sensei', 'libsim', 'situ', 'infrastructure', 'implement', 'rendering', 'workflow', 'surface', 'data', 'extraction', 'workflow', 'avf-leslie', 'combustion', 'code', 'workflow', 'demonstrated', 'high', 'level', 'concurrency', 'showed', 'significant', 'data', 'reduction', 'limited', 'impact', 'simulation', 'runtime']"
114,"['situ', 'steerable', 'hardware-independent', 'data-structure', 'agnostic', 'visualization', 'isaac', 'computation', 'power', 'supercomputer', 'grows', 'faster', 'bandwidth', 'storage', 'network', 'especially', 'application', 'using', 'hardware', 'accelerator', 'like', 'nvidia', 'gpus', 'save', 'enough', 'data', 'analyzed', 'later', 'step', 'high', 'risk', 'loosing', 'important', 'scientific', 'information', 'introduce', 'situ', 'template', 'library', 'isaac', 'enables', 'arbitrary', 'application', 'like', 'scientific', 'simulation', 'live', 'visualize', 'data', 'without', 'need', 'deep', 'copy', 'operation', 'data', 'transformation', 'using', 'compute', 'node', 'hardware', 'accelerator', 'data', 'already', 'residing', 'arbitrary', 'meta', 'data', 'added', 'rendering', 'user', 'defined', 'steering', 'command', 'asynchronously', 'sent', 'back', 'running', 'application', 'using', 'aggregating', 'server', 'isaac', 'stream', 'interactive', 'visualization', 'video', 'enables', 'user', 'access', 'application', 'everywhere']"
115,"['preparing', 'situ', 'processing', 'upcoming', 'leading-edge', 'supercomputer', 'high', 'performance', 'computing', 'application', 'producing', 'increasingly', 'large', 'amount', 'data', 'placing', 'enormous', 'stress', 'current', 'capability', 'traditional', 'post-hoc', 'visualization', 'technique', 'growing', 'compute', 'i/o', 'imbalance', 'data', 'reduction', 'including', 'situ', 'visualization', 'required', 'reduced', 'data', 'used', 'analysis', 'visualization', 'variety', 'different', 'way', 'many', 'visualization', 'analysis', 'requirement', 'known', 'priori', 'scientist', 'dependent', 'reduced', 'data', 'accurately', 'represent', 'simulation', 'post', 'hoc', 'analysis', 'contribution', 'paper', 'description', 'direction', 'pursuing', 'assist', 'large', 'scale', 'fusion', 'simulation', 'code', 'succeed', 'next', 'generation', 'supercomputer', 'direction', 'include', 'role', 'situ', 'processing', 'performing', 'data', 'reduction', 'well', 'tradeoff', 'data', 'size', 'data', 'integrity', 'within', 'context', 'complex', 'operation', 'typical', 'scientific', 'workflow']"
117,"['exascale', 'hpc', 'technique', 'applied', 'energy', 'sector', 'appliance', 'new', 'exascale', 'hpc', 'technique', 'energy', 'industry', 'simulation', 'absolutelyneeded', 'nowadays', 'sense', 'common', 'procedure', 'customize', 'technique', 'thespecic', 'energy', 'sector', 'interest', 'order', 'go', 'beyond', 'state-of-the-art', 'requiredhpc', 'exascale', 'simulation', 'aim', 'hpc4e', 'project', 'developing', 'new', 'exascale', 'methodologiesto', 'three', 'dierent', 'energy', 'source', 'present', 'future', 'energy', 'wind', 'energyproduction', 'design', 'ecient', 'combustion', 'system', 'biomass-derived', 'fuel', 'biogas', 'explorationgeophysics', 'hydrocarbon', 'reservoir', 'work', 'general', 'exascale', 'advance', 'proposedas', 'part', 'hpc4e', 'outcome', 'specic', 'result', 'dierent', 'domain', 'presented']"
118,"['analysis', 'cpu', 'usage', 'data', 'property', 'possible', 'impact', 'performance', 'monitoring', 'cpu', 'usage', 'data', 'cpu', 'user', 'system', 'iowait', 'etc', 'load', 'level', 'often', 'basic', 'data', 'used', 'performance', 'monitoring', 'source', 'data', 'operating', 'system', 'paper', 'analyze', 'property', 'cpu', 'usage', 'data', 'provided', 'linux', 'kernel', 'examine', 'kernel', 'source', 'code', 'provide', 'test', 'result', 'find', 'level', 'accuracy', 'precision', 'one', 'may', 'expect', 'using', 'cpu', 'load', 'level', 'data']"
120,"['parallel', 'algorithm', '3d', 'modeling', 'monochromatic', 'acoustic', 'field', 'method', 'integral', 'equation', 'present', 'parallel', 'algorithm', 'solution', 'three-dimensional', 'helmholtz', 'equation', 'frequency', 'domain', 'method', 'volume', 'integral', 'equation', 'algorithm', 'applied', 'seismic', 'forward', 'modeling', 'method', 'integral', 'equation', 'reduces', 'size', 'problem', 'dividing', 'geologic', 'model', 'anomalous', 'background', 'part', 'lead', 'dense', 'system', 'matrix', 'tolerable', 'memory', 'consumption', 'numerical', 'complexity', 'achieved', 'applying', 'iterative', 'solver', 'accompanied', 'effective', 'matrix-vector', 'multiplication', 'operation', 'based', 'fast', 'fourier', 'transform', 'used', 'openmp', 'speed', 'matrix-vector', 'multiplication', 'mpi', 'used', 'speed', 'equation', 'system', 'solver', 'also', 'parallelizing', 'across', 'multiple', 'source', 'practical', 'example', 'efficiency', 'test', 'presented']"
121,"['design', 'implementation', 'pulsar', 'programming', 'system', 'large', 'scale', 'computing', 'objective', 'pulsar', 'project', 'design', 'programming', 'model', 'suitable', 'large', 'scale', 'machine', 'complex', 'memory', 'hierarchy', 'deliver', 'prototype', 'implementation', 'runtime', 'system', 'supporting', 'model', 'pulsar', 'tackled', 'challenge', 'proposing', 'programming', 'model', 'based', 'systolic', 'processing', 'virtualization', 'pulsar', 'programming', 'model', 'quite', 'simple', 'point-to-point', 'channel', 'main', 'communication', 'abstraction', 'runtime', 'implementation', 'lightweight', 'fully', 'distributed', 'provides', 'multithreading', 'message-passing', 'multi-gpu', 'offload', 'capability', 'performance', 'evaluation', 'show', 'good', 'scalability', 'one', 'thousand', 'node', 'one', 'thousand', 'gpu', 'accelerator']"
123,"['recent', 'trend', 'power', 'optimization', 'hpc', 'system', 'power', 'optimization', 'one', 'concern', 'high', 'performance', 'computing', 'paper', 'givessurvey', 'previous', 'research', 'study', 'power', 'optimization', 'technique', 'prediction', 'energyand', 'power', 'consumption', 'also', 'focus', 'software', 'directed', 'study', 'power', 'optimization', 'wherethis', 'survey', 'contains', 'review', 'basic', 'mechanism', 'tool', 'used', 'survey', 'includes', 'variouspower', 'optimization', 'technique', 'domain', 'power', 'capping', 'energy', 'capping', 'using', 'rapl', 'job', 'scheduling', 'using', 'portable', 'batch', 'system', 'pb', 'tool', 'node', 'variability', 'application', 'run', 'timevariability', 'dvfs', 'system', 'level', 'profiling', 'based', 'domain', 'various', 'problem', 'oppor-tunities', 'regarding', 'power', 'optimization', 'mentioned', 'recent', 'research', 'direction', 'thisarea.keywords', 'high', 'performance', 'computing', 'power', 'profiling', 'power', 'optimization', 'power', 'saving', 'scientific', 'workload']"
